1	5b1r/1k2p1pp/p2r1n2/2p1NQ2/5P2/2N5/PP3P1P/R4RK1 b - - 3 20	1.0
1	5b1r/1k2p1pp/p2r1n2/2p1N3/2Q2P2/2N5/PP3P1P/R4RK1 b - - 7 22	1.0
1	2k4r/3N2pp/p2Rp1r1/2p1P3/8/1Q6/PP3P1P/5R1K b - - 0 30	1.0
1	2k4r/6pp/pQ1Rp1r1/2N1P3/8/8/PP3P1P/5R1K b - - 0 32	1.0
2	6k1/1p3ppp/8/p1pr4/4n3/PP2PN1P/2P3P1/2R3KR w - - 2 24	0.5
3	3rkb1r/ppqbpppp/3p4/2pP4/2P5/4PN2/PB1P1PPP/R2Q1RK1 b k - 0 11	0.5
5	2b1kb1r/rp1p1pp1/n7/2p3q1/2P3n1/8/PP2PPPP/R3KB1R w KQk - 0 12	0.0
5	2b1kb1r/rp1p1pp1/8/2p5/2Pn4/8/PP1q1PPP/1KR5 w k - 2 20	0.0
6	2r1kbn1/pp3pp1/2np4/2pN1Q2/8/8/PPPP1P1R/R1B1K3 b Q - 2 12	0.5
6	2rk1b2/pp2n3/2np1Np1/2p2p2/8/5Q2/PPPP1P1R/R1B1K3 b Q - 3 16	0.5
6	1Qnk1b2/p1r5/3p1Np1/2p2p2/8/8/PPKP1P1R/R1B5 b - - 0 20	0.5
6	4Q3/p4rbR/3p1kp1/5p2/2p5/8/PP1P1P2/RKB5 b - - 7 28	0.5
6	2Q5/p3r1b1/3p2p1/4kp2/2p4R/8/PP1P1P2/RKB5 b - - 11 30	0.5
6	8/p1Q3b1/3p1kp1/5p2/3P4/8/PP3P2/RKB5 b - - 0 34	0.5
7	3r2k1/1p3ppp/2p5/N1P5/P4N2/1P4PK/8/4n3 b - - 0 33	0.5
8	4r3/pk2p1pp/4b3/8/P3Pn2/3p3r/1P6/3RR1K1 b - - 0 30	0.5
8	5r2/pk2p1pp/4b3/8/P3P3/3p3r/1P2n1K1/3RR3 b - - 4 32	0.5
8	5r2/pk2p1p1/4b3/P6p/3nP3/7r/1P4K1/2R5 b - - 1 36	0.5
9	r1bqk2r/pp3ppp/4p3/2b5/5P2/5N2/PPn3PP/R1B2R1K w - - 0 12	0.5
9	r3k2r/pp1b1ppp/4p3/2b5/5P2/3q1N2/PPnB2PP/1R3R1K w - - 4 14	0.5
9	2k5/pp4Bp/4p3/8/5PNK/3r3P/PPn3b1/6b1 w - - 0 28	0.5
9	2k3K1/pp5p/4p3/3bB3/5P1r/4b3/PP6/8 w - - 6 34	0.5
9	2k3K1/pp5p/4pB2/3b4/5b2/1P6/P6r/8 w - - 2 36	0.5
11	4r1k1/1p3pp1/3Pp3/4P2p/2P1b3/1P6/r1P2qPP/2R3RK w - - 3 23	0.5
11	3r2k1/1p1P1pp1/4p3/4P2p/2P1b3/1P6/2r2qPP/3R2RK w - - 0 25	0.5
11	3r2k1/1p1P1pp1/2b1p3/2P1P3/7p/1P5P/2r5/3R2K1 w - - 0 29	0.5
13	r1b1kbr1/pp3ppp/2p1pn2/4N3/2B5/2N4P/PPP2PP1/R2QK2R b q - 0 12	1.0
13	r3kb1r/pp1b1ppp/2p1pn2/4N3/2B5/2N4P/PPP2PP1/2RQKR2 b q - 4 14	1.0
14	6k1/5pp1/p3p2p/P2r4/2N5/2P5/1P4PP/6K1 w - - 0 29	0.5
14	6k1/5pp1/p3p3/P6p/2N4P/2P5/1P3KP1/3r4 w - - 0 31	0.5
14	6k1/5pp1/p3p3/P6p/2N4P/2PK4/1P4P1/7r w - - 4 33	0.5
15	rn2k1nr/pp3p1p/3b2p1/8/4q3/2P4P/PP3K2/R4BR1 b kq - 4 16	0.5
15	r3k1n1/pp3p2/6p1/8/5q1n/2P4B/P3K3/8 b q - 3 32	0.5
17	3r1rk1/ppp2pp1/2n1pn2/2b5/4P3/3B4/PPPB1PPP/3RK2R w K - 2 16	0.5
17	3r2k1/p1p2p2/p3pn1p/2b1n3/4P3/5P2/PPP3PP/4K2R w K - 1 20	0.5
17	3r2k1/p1p2p2/p3pn1p/2b5/4P3/1P2nP2/P1P3PP/4KR2 w - - 1 22	0.5
17	3r2k1/p1p2p2/p3pn1p/8/1b2P3/1P3P2/P1n1KRPP/8 w - - 0 24	0.5
17	3r4/p1p2pk1/pb2pn1p/8/1P2P3/4nPP1/P3KR1P/8 w - - 1 28	0.5
17	8/p1p2pk1/pb2p2p/4P2n/PP6/4nPP1/4KR1P/3r4 w - - 1 30	0.5
17	8/p1p2p2/p3p1kp/P3P2n/1P1b1P2/4n1P1/4KR1P/3r4 w - - 1 32	0.5
18	5k2/p1p2p1p/8/r7/3pr2P/1P6/2P1p1P1/4K3 w - - 0 31	0.0
21	r1b1k1nr/pppp1ppp/8/4p3/4P3/P1NPPP2/1PP4P/R3KB1R b KQkq - 0 9	0.5
23	r3k1nr/p5pp/1p2q3/3p4/1B1p4/5P2/PPP1N1PP/RN2K2R w KQkq - 2 14	0.5
23	2kr3r/p5pp/1p2qn2/3p4/1B1p4/5P2/PPPNN1PP/R3KR2 w Q - 6 16	0.5
23	2krr3/p5pp/1p3n2/3p4/1B1p4/4qP1P/PPPNN1P1/3RKR2 w - - 1 18	0.5
23	2krr3/p5pp/1p3n2/3p4/1B6/3q1P1P/PP1NNRP1/3RK3 w - - 0 20	0.5
23	2krr3/p5pp/1p3n2/8/1B6/3p1P1P/PP2NRP1/4K3 w - - 0 22	0.5
23	8/pk4pp/1p3n2/2r5/5B2/5P1P/PP2K1P1/8 w - - 1 28	0.5
23	8/pk5p/1p4p1/4B3/6P1/4nP1P/PPr5/6K1 w - - 0 32	0.5
24	4r3/5k1p/2p1pn2/8/8/P2P4/1PK2PPP/8 b - - 1 30	0.5
25	5rk1/pp5p/2bpp3/8/5P1P/5NK1/PPr3P1/8 w - - 0 29	0.5
25	5rk1/pp5p/3pp3/7P/4bP2/P4NK1/1r4P1/8 w - - 1 31	0.5
28	3r2k1/p1p2p1p/5b1B/3r4/2N1p3/1NPp4/1Pn2PPP/5RK1 w - - 1 26	0.5
28	6k1/p4p1p/2p2b2/5N2/1P3r2/2P4P/3r2P1/2R3K1 w - - 1 36	0.5
29	8/1p1nkpp1/8/p2pP3/3Pb3/1P2P1P1/r3B2r/4RK2 w - - 0 25	0.5
29	8/1p1nkpp1/8/p2pP1P1/3Pb3/1P2P3/2r1B2r/4RK2 w - - 5 29	0.5
