0	3rr2k/2R2pp1/4pn1p/p7/P2n1B2/3P2Q1/1P3P1P/4R1K1 b - - 10 30	0.5
0	4r2k/3n1pp1/4p2p/p7/P2n1BQ1/3P4/1P3P1P/4R1K1 b - - 1 32	0.5
1	r5kr/p1Q2p1p/1p2pnp1/4R3/2B5/2P4P/PP3PK1/3R4 b - - 0 20	0.5
1	4r1kr/p4p2/1p1Qpnpp/4R3/P1B5/2P4P/1P3PK1/3R4 b - - 0 22	0.5
1	5rkr/p4p2/Pp4Bp/3Q4/8/2P4P/1P3PK1/3R4 b - - 0 28	0.5
3	rn1q1rk1/p2pppbp/2p2np1/1b2N3/3P1P2/P1N1P2P/1PP3P1/R1BQK2R b KQ - 0 9	0.5
3	r3qrk1/p2nppbp/2N2np1/1p1p4/3P1P2/P3P2P/1PPB2P1/R2Q1RK1 b - - 3 13	0.5
3	r6k/p4R1p/4n1p1/1p1Q4/4n3/P6P/1PP3PK/R7 b - - 0 21	0.5
3	4r2k/p4Rnp/6p1/1p6/3Q4/P6P/1PP3PK/R7 b - - 2 23	0.5
3	6rk/R5n1/5Qpp/1p6/8/P6P/1PP3PK/R7 b - - 1 25	0.5
3	8/6R1/4k3/1p6/3Q4/P6P/1PP4K/8 b - - 2 33	0.5
4	2r1kb1r/ppq2ppp/4pn2/5b2/2Nn4/3P4/PPP1PPPP/R2QKB1R w KQk - 0 10	0.0
4	2r2rk1/pp3ppp/4pnb1/8/3PP3/4qPbP/PPB3P1/1K1Q4 w - - 2 22	0.0
4	2r2rk1/pp3ppp/4pnb1/8/B2PP3/5PbP/PP4q1/K2Q4 w - - 0 24	0.0
6	5r2/p1N2pkp/2p5/4R3/3b4/1q1N4/1P1R2PP/4K3 w - - 4 32	0.5
7	2bqkb1r/1p1p1p1p/2n2p2/p1p5/2P1P3/2N2N1P/PP3PP1/R2K1B1R b k - 3 11	0.5
7	2bqkb1r/1p1p1p1p/5p2/p2N4/2PpP3/7P/PP3PP1/R2K1B1R b k - 1 13	0.5
10	r3r3/ppp3kp/2n2n2/6q1/2B5/2N2P2/PPP2PPP/3R1RK1 w - - 7 14	0.0
10	3rr3/ppp3k1/7p/8/P2n1q2/3B1P2/1PP2PPP/3R1RK1 w - - 2 20	0.0
11	3q1rk1/2p1n1pp/2n2p2/1p1ppb2/1b6/2NPB1PN/1PP1PP1P/Q2RKB1R w K - 1 12	0.5
11	5rk1/2p3pp/2n2pn1/1p1qpb2/1b6/2NPB1PN/1PP1PP1P/Q2RK2R w K - 0 14	0.5
12	r2qkb2/ppp1ppp1/2n2n2/8/1P3rb1/P2B1N2/2PN1PPP/R1B2RK1 w q - 8 11	0.0
